url,titlu,autor,imagine,pret,"pret vechi","id extern"
"eBook Jurnalul unui post terapeutic de 40 de zile cu apa - Cezar Elisei",https://cdn4.libris.ro/img/pozeprod/19028/19027843-1-small-1.jpg,19027843
"eBook Zorii tuturor lucrurilor. O noua istorie a omenirii - David Graeber",https://cdn4.libris.ro/img/pozeprod/29035/29034110-1-small-1.jpg,29034110
"eBook Drumul catre libertate. Autobiografia unei refugiate din Coreea de Nord - Yeonmi Park",https://cdn4.libris.ro/img/pozeprod/11039/11038236-1-small-1.jpg,11038236
"eBook Repetitie pentru o lume mai buna - Mihai Radu",https://cdn4.libris.ro/img/pozeprod/28243/28242662-1-small-1.jpg,28242662
"eBook De ce fierbe copilul in mamaliga - Aglaja Veteranyi",https://cdn4.libris.ro/img/pozeprod/12168/12167361-1-small-1.jpg,12167361
"eBook O vara cu Isidor - Veronica D. Niculescu",https://cdn4.libris.ro/img/pozeprod/11041/11040073-1-small-1.jpg,11040073
"eBook Tendinte actuale in campaniile de relatii publice - Camelia Cmeciu",https://cdn4.libris.ro/img/pozeprod/13287/13286827-1-small-1.jpg,13286827
"eBook Acolo unde canta racii - Delia Owens",https://cdn4.libris.ro/img/pozeprod/28155/28154728-1-small-1.jpg,28154728
"eBook Cele 5 rani care ne impiedica sa fim noi insine - Lise Bourbeau",https://cdn4.libris.ro/img/pozeprod/13290/13289778-1-small-1.jpg,13289778
"eBook Atomic Habits - James Clear",https://cdn4.libris.ro/img/pozeprod/26927/26926368-1-small-1.jpg,26926368
"eBook Tragatori si mistificatori. Contrarevolutia Securitatii in decembrie 1989 - Madalin Hodor",https://cdn4.libris.ro/img/pozeprod/13285/13284318-1-small-1.jpg,13284318
"eBook O istorie naturala a exercitiului fizic - Daniel E. Lieberman",https://cdn4.libris.ro/img/pozeprod/28698/28697277-1-small-1.jpg,28697277
"eBook Limba engleza - Admiterea in clasa 5 cu engleza intensiv - Denissa Bularda",https://cdn4.libris.ro/img/pozeprod/21797/21796113-1-small-1.jpg,21796113
